ID #	Class	Incidence	Occurence   :	Total	ID 1	ID 2	ID 3	ID 4	ID 5	ID 6	ID 7	ID 8	ID 9
				Contact Time :
92	2	1				5	0	0	0	0	0	0	5	0	0
						1842	0	0	0	0	0	0	1842	0	0

93	2	1				2	0	0	0	0	0	0	0	2	0
						2	0	0	0	0	0	0	0	2	0

94	2	1				2	0	0	0	0	0	0	0	2	0
						264	0	0	0	0	0	0	0	264	0

95	2	1				3	0	0	0	0	0	0	0	3	0
						134	0	0	0	0	0	0	0	134	0

96	2	1				2	0	0	0	0	0	0	0	2	0
						117	0	0	0	0	0	0	0	117	0

97	2	1				2	0	0	0	0	0	0	0	2	0
						2	0	0	0	0	0	0	0	2	0

98	2	1				2	0	0	0	0	0	0	0	2	0
						2	0	0	0	0	0	0	0	2	0

99	2	1				2	0	0	0	0	0	0	0	2	0
						2	0	0	0	0	0	0	0	2	0

100	2	1				2	0	0	0	0	0	0	0	0	2
						2	0	0	0	0	0	0	0	0	2

101	2	1				1	0	0	1	0	0	0	0	0	0
						8	0	0	8	0	0	0	0	0	0

102	2	1				1	0	0	0	0	1	0	0	0	0
						249	0	0	0	0	249	0	0	0	0

103	2	1				1	0	0	0	0	0	1	0	0	0
						8	0	0	0	0	0	8	0	0	0

104	2	1				1	0	0	0	0	0	1	0	0	0
						8	0	0	0	0	0	8	0	0	0

105	2	1				1	0	0	0	0	0	1	0	0	0
						2068	0	0	0	0	0	2068	0	0	0

106	2	1				1	0	0	0	0	0	1	0	0	0
						127	0	0	0	0	0	127	0	0	0

107	2	1				1	0	0	0	0	0	1	0	0	0
						730	0	0	0	0	0	730	0	0	0

108	2	1				1	0	0	0	0	0	1	0	0	0
						1202	0	0	0	0	0	1202	0	0	0

109	2	1				1	0	0	0	0	0	1	0	0	0
						240	0	0	0	0	0	240	0	0	0

110	2	1				1	0	0	0	0	0	1	0	0	0
						228	0	0	0	0	0	228	0	0	0

111	2	1				1	0	0	0	0	0	1	0	0	0
						238	0	0	0	0	0	238	0	0	0

112	2	1				1	0	0	0	0	0	1	0	0	0
						114	0	0	0	0	0	114	0	0	0

113	2	1				1	0	0	0	0	0	1	0	0	0
						717	0	0	0	0	0	717	0	0	0

114	2	1				1	0	0	0	0	0	1	0	0	0
						117	0	0	0	0	0	117	0	0	0

115	2	1				1	0	0	0	0	0	1	0	0	0
						8	0	0	0	0	0	8	0	0	0

116	2	1				1	0	0	0	0	0	1	0	0	0
						465	0	0	0	0	0	465	0	0	0

117	2	1				1	0	0	0	0	0	0	1	0	0
						358	0	0	0	0	0	0	358	0	0

118	2	1				1	0	0	0	0	0	0	1	0	0
						8	0	0	0	0	0	0	8	0	0

119	2	1				1	0	0	0	0	0	0	1	0	0
						8	0	0	0	0	0	0	8	0	0

120	2	1				1	0	0	0	0	0	0	1	0	0
						237	0	0	0	0	0	0	237	0	0

121	2	1				1	0	0	0	0	0	0	1	0	0
						125	0	0	0	0	0	0	125	0	0

122	2	1				1	0	0	0	0	0	0	1	0	0
						118	0	0	0	0	0	0	118	0	0

123	2	1				1	0	0	0	0	0	0	1	0	0
						1218	0	0	0	0	0	0	1218	0	0

124	2	1				1	0	0	0	0	0	0	0	1	0
						8	0	0	0	0	0	0	0	8	0

125	2	1				1	0	0	0	0	0	0	0	1	0
						8	0	0	0	0	0	0	0	8	0

126	2	1				1	0	0	0	0	0	0	0	1	0
						614	0	0	0	0	0	0	0	614	0

127	2	1				1	0	0	0	0	0	0	0	1	0
						126	0	0	0	0	0	0	0	126	0

128	2	1				1	0	0	0	0	0	0	0	1	0
						8	0	0	0	0	0	0	0	8	0

